,2025-03-24,2025-03-25,2025-03-26,2025-03-31,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-28,2025-04-29,2025-04-30,2025-05-05,2025-05-12,2025-05-19,2025-05-26,2025-06-02,2025-06-09,2025-06-16,2025-06-23,2025-06-30,2025-07-07,2025-07-14,2025-07-21,2025-07-28,2025-07-30,2025-07-31,2025-08-04,2025-08-11,2025-08-18,2025-08-25,2025-08-26,2025-09-08,2025-09-15,2025-09-22,2025-09-29,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09
13:00,7.6113333333333335,7.4446666666666665,,7.367333333333334,1.3113333333333335,0.8936666666666666,1.0233333333333332,6.5,8.205666666666666,7.423666666666667,,2.478666666666667,1.1786666666666668,7.022333333333334,2.0326666666666666,5.141666666666667,7.221333333333333,3.0903333333333336,8.373,7.979333333333333,4.006,4.836333333333333,5.002666666666667,9.259666666666668,,8.728000000000002,8.104000000000001,,,6.049,,,,,,,,,,,,,,,,,,,,7.228148148148148,8.19,3.9949999999999997,2.994333333333333,1.3153333333333335,4.611666666666666,
13:30,5.534666666666666,7.2716666666666665,,3.879,0.7536666666666666,1.0026666666666668,1.5583333333333333,5.694999999999999,8.261666666666667,6.512666666666666,,1.644,0.6843333333333333,2.2453333333333334,1.2796666666666667,4.937666666666667,7.195333333333334,3.069666666666667,8.140333333333334,8.125,4.180666666666666,4.491333333333333,4.802333333333333,8.806666666666667,,8.499,8.206,,,8.503,,,,,,,,,,,,,,,,,,,,4.916333333333333,6.253666666666666,5.007666666666666,1.823,0.366,3.7969999999999997,
14:00,5.702666666666667,4.189666666666667,,3.5763333333333334,0.8393333333333334,1.089,0.804,7.408,8.059999999999999,5.516666666666667,,3.5206666666666666,0.36466666666666664,6.037,3.2416666666666667,3.319,5.379333333333333,2.436,7.798,7.853,4.314333333333334,4.212666666666667,2.1229999999999998,8.586333333333332,,8.544,8.224333333333332,,,6.879666666666667,,,,,,,,,,,,,,,,,,,,5.642666666666667,2.6536666666666666,2.3366666666666664,3.9366666666666665,0.005333333333333333,5.949333333333333,
14:30,5.5023333333333335,3.795666666666667,,2.579333333333333,0.7573333333333333,1.1456666666666666,0.6036666666666667,8.801666666666668,7.711,3.1906666666666665,,3.5496666666666665,1.1566666666666667,6.6160000000000005,5.665666666666667,3.091,3.445333333333333,1.074,7.586666666666667,5.831,2.0016666666666665,2.606666666666667,2.7996666666666665,8.214666666666666,,7.873,7.578333333333333,,,5.814333333333334,,,,,,,,,,,,,,,,,,,,3.9863333333333335,2.991333333333333,3.6536666666666666,3.567,0.0,6.224666666666667,
15:00,3.75,3.348,,3.700333333333333,0.15366666666666667,0.09133333333333334,0.619,7.492,7.109,2.9353333333333333,,5.963333333333334,0.2946666666666667,4.947666666666667,6.174,1.5713333333333332,2.2376666666666667,1.2646666666666666,7.086,4.445333333333334,1.2033333333333334,5.1080000000000005,2.808333333333333,7.538666666666667,,7.249333333333333,6.839666666666667,,,5.487,,,,,,,,,,,,,,,,,,,,4.147666666666667,0.8913333333333334,1.6773333333333333,3.539,0.006,1.3993333333333333,
15:30,7.610666666666666,2.6636666666666664,,5.060666666666666,0.006333333333333333,0.004666666666666667,0.5696666666666667,3.3073333333333332,6.307333333333333,2.991333333333333,,1.8623333333333332,0.0033333333333333335,4.443333333333333,5.696333333333333,3.0020000000000002,2.265,1.1866666666666668,6.287000000000001,2.787,1.0163333333333333,1.917142857142857,2.625,6.877666666666667,,6.620333333333333,4.167666666666666,,,3.153,,,,,,,,,,,,,,,,,,,,4.8806666666666665,0.098,0.856,1.6706666666666665,0.0,0.12000000000000001,
16:00,6.436333333333334,3.0603333333333333,,4.936000000000001,0.005333333333333333,0.005666666666666667,0.0033333333333333335,5.684,5.166666666666667,1.3193333333333332,,0.9543333333333333,0.0,5.794,2.707666666666667,2.1109999999999998,1.8633333333333333,0.23533333333333334,5.290666666666667,1.4263333333333332,1.0913333333333335,,1.4476666666666667,5.959333333333333,,5.751333333333333,4.605,,,3.9096666666666664,,,,,,,,,,,,,,,,,,,,3.6366666666666663,0.007666666666666667,0.2856666666666667,0.18766666666666668,0.0,0.006333333333333333,
16:30,2.299,2.3400000000000003,,4.362666666666667,0.0033333333333333335,0.0,0.0,3.3473333333333333,3.8956666666666666,1.1593333333333333,,0.8913333333333333,0.004,1.898,2.4593333333333334,2.630333333333333,1.924,0.0,4.223,0.716,0.4486666666666667,,0.8089999999999999,4.062,,4.745333333333334,2.969333333333333,,,1.4713333333333334,,,,,,,,,,,,,,,,,,,,2.2656666666666667,0.0026666666666666666,0.0,0.40099999999999997,0.0,0.005666666666666667,
17:00,1.114,1.2633333333333332,,2.912,0.0,0.0,0.0033333333333333335,2.430333333333333,2.4863333333333335,3.102333333333333,,1.7416666666666667,0.4856666666666667,2.5863333333333336,3.025,1.8073333333333332,1.7476666666666667,0.0,3.0606666666666666,0.25666666666666665,0.004,,0.5093333333333333,0.6496666666666667,,3.567333333333333,2.3623333333333334,,,2.3,,,,,,,,,,,,,,,,,,,,0.325,0.0,0.0,0.0,0.0,0.063,
17:30,0.876,0.048,,1.3613333333333335,0.0,0.0023333333333333335,0.0,1.4556666666666667,0.8373333333333334,1.011,,1.9136666666666666,0.07133333333333333,1.8719999999999999,1.2206666666666666,0.8723333333333334,0.8160000000000001,0.0,1.782,0.0026666666666666666,0.0,,0.004,0.0033333333333333335,,2.2676666666666665,0.17666666666666667,,,2.323,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
